Species;Family;Extant_Fossil;ID_Source;Log_BM;Log_BrM;EQ_Orliac;Neo_Ratio;ObS_ES;ObV_EV;RAEC;RAEC2
Hyemoschus_aquaticus;Tragulidae;Extant;Perez_Barberia;4.029383778;1.397940009;0.405657175;;;;;
Antilocapra_americana;Antilocapridae;Extant;YPM_1513;4.662065315;2.106967236;0.917687728;39.18723616;6.566124296;1.501019636;163.6136446;3.097150829
Capra_sibirica;Bovidae;Extant;AMNH_54906;5.21530196;2.342431538;0.773002207;40.90700488;5.257346295;1.675055035;169.8384711;2.691898701
Myotragus_balearicus;Bovidae;Fossil;Liakopoulou et al. 2024_FM_PM_59135;4.421899936;1.650133269;0.436943838;45.00317437;4.750331485;;110.4015134;2.927241701
Tragulus_napu;Tragulidae;Extant;ZMB_66594;3.477068631;1.281285458;0.63236349;33.82739018;12.09511757;4.743999427;62.96017733;2.354890892
Candiacervus_ropalophorus;Cervidae;Fossil;M_Palombo_2008;4.735415244;2.065925784;0.880974811;;;;;
Stockoceros_sp;Antilocapridae;Fossil;;;;;44.52576443;5.909711693;;;
Oreamnos_americanus;Bovidae;Extant;YPM_14605;4.777884233;2.123715375;0.82139059;42.39752114;4.211881473;0.923135892;145.6095112;2.721905121
Ovis_ammon;Bovidae;Extant;YPM_54485;5.225311973;2.260344259;0.631662136;48.05140248;5.159106412;1.362692826;178.0255746;3.002414952
Saiga_tatarica;Bovidae;Extant;YPM_1510;4.556401986;1.984968552;0.794144264;46.98799757;4.856274725;1.214924691;144.8041532;3.002885846
